text,label
"dolgo je ze casa, ko sem bila na tem forumu, prav tako minilo ze nekaj casa, ko sem zadnjic tako jokala, kot sedaj, ko sem brala tvoje (tippi) poste...naj to povem svojo zgodbo...",1
"v 6 mesecu sem morala roditi deklico, mojo Z., saj je imela ugotovljenih vec nepravilnosti (hidrocefalus)...",1
"bolecina, ki sem jo obcutila je bila grozna, jokala sem cele dneve, mojo deklici pisala pisma, ki so danes, ko jih se kdaj preberem, prekrita s solzami in razmazano pisavo...",1
"stilo za bolecino, ki jo trpis...",1
"morda res drzi...",1
"vendar jaz sem se odlocila drugace...",1
"po treh mesecih sem znova zanosila in v trenutku, ko sem zagledala dve plavi crtici sem se koncno, po dolgem casu, spet pocutile ```cela```, nasmejana in iskreno srecna...",1
"dobila sva zdravega decka...",1
"nosecnosti me je bilo strah, vendar strah je nekaj, kar se da premagat...",1
"kam, cez cas, poskusiva nasemu fantku pricarati bratca ali sestrico.",1
"Kar zelim povedat je to, da nam zivljenje dodeli prepreke, ker ve, da jih enostavno zmoremo...",1
"Zal je situacija nanesla tako, da imam doma skoraj 4-letnega fantka in mojo mamo, kateri so zaradi bolezni dnevi steti. Koliko casa ji je se preostalo nam v bolnici niso vedeli povedati, situacija pa ni v tem trenutku niti priblizno roznata.",0
"In sedaj se tukaj pri meni pojavi dilema - v primeru, da mama umre v tem casu (tj.",1
"do njegovega rojstnega dneva) mi niti na kraj pameti ne pade, da bi praznovala njegov rojstni dan - vsaj ne z zurko ali piknikom, ker bo vsaj polovica druzine zalovala.",1
"Fant pravi drugace in sicer, rojstni dan za otroka MORA biti, tudi ce moja mama v tem casu umre.",1
"ni dan za tamalega.",1
"Popolnoma te razumem, da ti ni do praznovanja.",1
"Po drugi strani pa se strinjam z mozem, da zabava oz.",1
"vsaj neke vrste praznovanje mora bit.",1
"Doma imam 4 letnika in on ze pol leta naprej govori samo o rojstnem dnevu.",1
"Se mi zdi, da je to taka starost ko jim zacne rojstni dan ze nekaj pomenit tud njim samim in ne samo starsem.",1
"k njegovi druzini se mi pravzamprav zdi dobra.",1
"Verjetno ve, da bi bilo zate to pretezko izpeljati in te hoce na nek nacin razbremenit.",1
"V bistvu hoce dobro.",1
"Nisem se bila v taki situaciji ampak iskreno mislim, da bi si zelala, da otrok ima zabavo, pa tudi ce bi se sama zavlekla v en kot in jokala.",1
"Saj ni treba, da je velik zur ( da pride pol zlahte), nekaj majhnega pa le.",1
"Jaz se spomnim svojega nonota, ki je vedno govoril, da je treba najprej poskbret za zive.",1
"Da so zivi vedno pred mrtvimi. Verjamem, da ti je tezko, tud ce bo tvoja mama takrat se ziva bo verjetno se tezje.",1
"Ne vem, zakaj imas v glavi, da je treba narediti mega zurko ali piknik, kamor povabis vse...",1
"Sama menim, da tvoj partner razmislja racionalno.",1
"Mali je star 4 leta in nima kaj dosti pojma o umiranju, ve pa, kaj je rojstni dan.",1
"In zanimivo, ljudje si take stvari zapomnijo.",1
"Vsak zaluje po svoje.",1
"Meni se zdi, da je zelo pomembna 'normalnost', s tem mislim normalni tok zivljenja.",1
"Da govoris o cem drugem, da delas nekaj drugega.",1
"Karkoli, kar nima opravka s smrtjo.",1
"Pomaga.",1
"Mogoce bi kaksna pogostitev s torto pomagala tudi tebi. Nekaj normalnega.",1
"Problem je, ker si ti zdaj v nekem 'ne tic ne mis' stanju.",1
"To pricakovanje smrti psihicno ubija in clovek je tezko sposoben normalnega zivljenja in razmisljanja.",1
"Ti si zdaj v tem 'pricakovanju', ki je grozno, ki ubija, ko najbrz se sama ne ves ali bi rada, da se konca trpljenje ljubljenega cloveka ali bi rada, da bi bil se malo s tabo. Najbrz oboje hkrati. Skratka, nisi v normalnem stanju in to je razumljivo.",1
"Tvoj partner te najverjetneje na nek klice v normalnost.",1
"Ker cetudi se je zate svet nekako ustavil, gre v resnici naprej.",1
"v bistvu v takih situacijah na nek nacin ni nikoli nic prav ali narobe.",1
"Mogoce pac partner skusa samo pomagati po najboljsi moci, ni pa nek superman in ne gre se za to, da bo ON uzival nekje stran od tebe, ko ti trpis, ampak bo skusal dati otroku nekaj normalnega.",1
"Upam da kaj pomaga.",1
"Drzi se.",1
"Zalostne situacije so to.",1
"Vendar so kot take del zivljenja.",1
"Zal.",1
"Ti, ki si seveda do konca prizadeta in uzaloscena, vleces na en konec in si v svoji bridkosti zelis cisto prespricati rojstni dan svojega otroka.",1
"Partner vlece na drug konec, ker se mu tvoja odlocitev ne zdi ustrezna in se obnasa kot da je prihajajoca izguba otrokove babice, tvoje mame in konec koncev njegove tasce dogodek, ki naj ne bi vplival na praznovanje otrokovega rojstnega dne.",1
"Otrok je star 4 leta.",1
"Ni vec tako majhen, da ne bi mogel nicesar razumeti. Ni tako nebogljen in nepozoren, da ne bi opazil, da bo ob njegovem rojstnem dnevu manjkala pomembna oseba- njegova babica.",1
"Zakaj ne le v ozjem druzinskem krogu ( pa ceprav le vi trije) s tortico ali pa enim druzinskim izletom nekam, kjer bo mulcku vsec.",1
"Otroku rojstni dan veliko pomeni in naj bi ga tako ali drugace obelezil na tisti dan , ko to je.",1
"Ce vam je to v navadi, lahko zabavo oz.",1
"piknik priredite z zamikom po kaksnem mesecu.",1
"To da bi praznoval le s pol sorodnikov , ceprav ponavadi praznuje z vsemi, je meni cisto mimo.",1
"S temi osebnimi prazniki je tako- ob praznovanju le teh, ti osebe, ki jih ni vec , se posebej manjkajo.",1
"Se posebej se obcuti njihova odsotnost in zalost je se vecja in tezja.",1
"Nila, tezko ti je zaradi prihajajoce izgube mame, to je normalno.",1
"Je pa tudi res, da je fantek star 4 leta in ce mu hoces dobro, mu ne jemlji tega, kar je njegovo normalno zivljenje, sicer bo poleg babice izgubil se svoj rojstni dan.",1
"Nic ni narobe, ce ga ti ne praznujes, normalno, da ne mores.",1
"Ampak pusti, da ga praznuje z ocetom in njegovo druzino ali da mu on priredi zabavo za prijateljcke...",1
"e dni ali pa bo imel grenek priokus, da je to ```dan, ko je kmalu umrla babica```...",1
"Tebi je rd nekaj, kar se zgodi vsako leto, ze svojih cca 30 let...",1
"Njemu je to nekaj, kar se mu bo zgodilo 4x, od tega se spomni samo 1x.",1
"Torej dejansko je to tako velika stvar, kot ko si ti diplomirala, recimo (ali rodila).",1
"Po drugi strani kot jaz vidim pri svojih otrokih smrti se ne dojemajo tako kot mi in najverjetneje res ne bi razumel zakaj praznovanja ni. Mozeva zamisel, da se praznovanje premakne k njegovi druzini se mi pravzamprav zdi dobra.",1
"Podpis.",1
"Moji so si...",1
"Mojim najvec pomeni zabava s prijatelji...",1
"To ima vsaka druzina po svoje urejeno: mi recimo vsesorodniskega slavja nimamo.",1
"Imamo druzinsko praznovanje rojstnega dne, ki je praviloma samo z ozjo druzino, kosilom po izbiri slavljenca/ke in torto po zelji slavljenca/ke.",1
"Babice in dedki se oglasijo prej ali kasneje, skoraj praviloma ne na tisti dan.",1
"Pac ko vsem ustreza in takrat vcasih naredim se eno torto, vcasih niti ne in samo voscijo otroku.",1
"neje, ce so najpomembnejse osebice slucajno ravno na morju ali kaj podobnega...",1
"Navadno je temnolaskin rd prej, ker grejo julija vsi na morje in naredimo konec junija, preden nam vsi pobrisejo.",1
"Se strinjam.",1
"Jim pa veliko pomenijo zabave s prijateljcki, vsaj mojim in njihovim prijateljem...",1
"Partner pravi, da se bom pocutila boljse ce pisem (baje, da mi gre to celo od rok) in zato bom kar tukaj izlila ven mojo zalost, ce lahko temu recem.",1
"Ze trije tedni so, odkar nas je zapustila mama/nona/zena.",1
"V bistvu malo vec kot dan po objavi te teme. Trudim se, da ne bi mislila nanjo, ampak zaprem oci in jo vidim tam, na postelji, ko se je poslavljala od nas.",1
"Moja roka, ki je bozala njeno - hladno in ona, ki se je obracala za nasimi glasovi, ampak nas ni prepoznala.",1
"In potem je kar naenkrat ni bilo vec.",1
"Koliko se ti zivljenje sesuje v takem trenutku ti ne more povedati nihce.",1
"Se ce ves, da se bo nekoc koncalo, tako kot se je, se ne mores psihicno pripravit na to - pa sem se 3 leta pripravljala na to, odkar mi je rekla, da so se ji naredile metastaze na jetrih. Vse tiste besede ```Drzi se```, ```Ne kazi zalosti pred otroci``` in podobne fraze v takem trenutku izginejo in ne pomenijo cisto nic.",1
"Mulcek me je se par ur prej, ko sva jo sla pogledat spraseval zakaj se jocem in zakaj sem tako zalostna.",1
"va, ampak zmedena, niti mulcka ni vec prepoznala, rekla je samo ```Poglej, moj vnucek je prisel.",1
"Sledil je teden, ko sem bila s sestro in ocetom doma.",1
"Lahko me grajate kolikor zelite, ampak v tistem tednu nisem niti lastnih mulckov mogla videt, kaj sele biti z njimi doma.",1
"Pa jih imam neizmerno rada in bi zanje naredila cisto vse.",1
"Preprosto v tisti zalosti sem bila najbolj pomirjena, ce sem bila s sestro in ocetom.",1
"V hisi v kateri smo ziveli toliko let - hisi, v kateri se je zgodilo toliko lepih in zalostnih spominov.",1
"Koliko sem prejokala v teh treh mesecih nima niti smisla da povem - prej, vmes in zdaj.",1
"Sam jok in jeza.",1
"In cel kup praznih skatel od robckov.",1
"Za pogreb sem par dni pred njeno smrtjo izlila svoje srce na list.",1
"Napis, ki je prisel iz srca in za katerega upam, da ga je slisala, kjerkoli ze je.",1
"Za glasbeno podlago smo izbrali njenega najljubsega italijanskega kantavtorja.",1
"Tata pravi, de je mamino telefonsko stevilko ze izbrisal iz telefona, ker ga je jezila.",1
"Zjutraj se zbudim in moj razgled je bolnica.",1
"Prvo nadstropje, soba st.",1
"4. In takoj se ponovi film zadnjih tednov.",1
"Zaradi mulcev in tudi fanta, se trudim vse to odmislit in funkcionirat normalno.",1
"Ampak tudi ce je en dan ```normalen```, se cez dan ali dva vsa ta zalost in bolecina, ki jo cutim v srcu vrne.",1
"Dvakratno, trikratno.",1
"Vsak dan se sprasujem, ce so zdravniki res naredili vse ali pa ce bi se odlocili za drugacen nacin zdravljenja, ce bi bila se tukaj.",1
"Vsak dan si, zato da lahko cez dan funkcioniram govorim ```Zanjo je boljse tako. Raje zalujem sedaj par let, kot da bi jo gledala v bolecinah se en dan vec.",1
"``` In pol se prikrade vprasanje ```Ma ke pi***, ki je.",1
"``` In odgovor: ```Saj ves, da ce bi bila situacija drugacna vas ne bi zapustila za nic na svetu.",1
"imela rada.",1
"S tatijem sta si par let prej omislila kamper, da bi se v letih, ki bi sledila vozila po Evropi. Od tega zdaj ne bo najbrz nic.",1
"Ko tata vidi kamper, postane tako zalosten, da ga bo najbrz prodal konec leta.",1
"Gre na vrt in na vrtu ga razzalostijo njene vrtnice in magnolia.",1
"Vse roze, ki jih je tako rada urejala.",1
"S sestro bi bile rade ob njemu, mu vsaj priblizno pomagale, ampak pravi, da nas ne more prositi tega, ker imamo ze svoje druzine.",1
"ako bi mu lahko pomagala.",1
"Da bi mu bilo vsaj malo lazje.",1
"V teh treh tednih se je zgodilo tako veliko stvari, ki bi ji jih rada povedala.",1
"Ali pa se pogovorila z njo za mnenje.",1
"Zdaj nimam vec nikogar s katerim bi lahko premlevala stvari, pa cetudi so tako nepomembne.",1
"Ker samo z njo sem se lahko pogovarjala in me je razumela.",1
"Pogresam jo.",1
"Res jo krvavo pogresam.",1
"Ko pomislim nanjo cutim praznino in bolecino v srcu, za katero se bojim, da bo ostala tam za vedno.",1
"In obcasno si jo zelim videt.",1
"Samo enkrat.",1
"Gledam mulcke in si mislim kaj vse so izgubili z njeno smrtjo - super nonico, ki jih je imela rada bolj kot vse nas ostale skupaj.",1
"Sincek, zaradi katerega sem to temo sploh odprla situacijo razume - recimo polovicno.",1
"Ve da je nona umrla, da je bila bolna - za lepse razumevanje, za to, da ne bi mislil, da ga je zapustila sem mu povedala, da ga gleda iz zvezdice.",1
"In zato, ce se spomnemo pogledamo zvezdice in jo poiscemo.",1
"Hcerka in necak sta se premajhna.",1
"Ce povem po pravici kaj bo s sinovih rojstnim dnevom mi je cisto vseeno.",1
"Nimam moci in volje, da bi se v tem trenutku ukvarjala s tem.",1
"Prosila sem ga, da se postavi v mojo vlogo in pomisli kako bi bilo njemu, ce bi bila to njegova mama in ce bi mu bilo vsec, da bi jaz nato za mojo zlahto naredila RD, brez njih.",1
"Ker ni razumel (ali pa hotel razumeti) ga bo najbrz organiziral fant samo za svojo stran familije, jaz pa bom s tatijem doma.",1
"njegovi strani je res dosti sorodnikov, ki so si skupaj in skupaj praznujejo, po moji strani nas je pa dosti manj.",1
"Po njegovo on svoje zlathe ne more iz Gorenjskega konca povabiti na Obalo samo na kavo in torto, za samo eno urco praznovanja.",1
"Jaz moje lahko recimo komot, ker smo tako praznovali rojstne dneve tudi jaz in sestra in mi bolj ustrezajo.",1
"Pri nas doma bo torta in to je to.",1
"Doma specena - z vanilijevo kremo in jagodami, kot mu jo je moja mama pekla sedaj vsa tri leta.",0
"Tudi ce je moj otrok se na zalost tega rojstnega dne ne morem veseliti. Predvsem zato, ker imam pred ocmi mamino sliko, ko ga je prvic videla, ko je bil se v inkubatorju - prva (to je pac prednost, ce je babica v porodnisnici bila mamina soseda), ki ga je in spomnim se kako si ga ni upala pobozati, ker je bil tako drobcen.",1
"G**** in A**** sem povedala, da te zdaj ne boli vec trebuscek in si odsla med zvezdice.",1
"Vem, da smo bili v zadnjem casu tecni in sitni, ker smo te stokrat na dan sprasevali kako se pocutis.",1
"Ampak zdaj te ni vec.",1
"Ze misel, da nisi vec v bolecinah naredi, da se s tatijem in Teo pocutimo malo boljse, ne glede na to, kako nam je hudo.",1
"In za konec se: za tatija pozdravi Frank Zappo, za T**** Freddy Mercuryja, zame pa Umberta Eca.",1
"No, pa se pocutim malo boljse.",1
"Vsaj trenutno.",1
"Trudim se, da ne bi mislila nanjo, ampak zaprem oci in jo vidim tam, na postelji, ko se je poslavljala od nas.",1
"Ne ves cas, ampak kadar si das cas za zalovanje, takrat se cisto prepusti. Zanikanje samo podaljsuje agonijo.",1
"Enkrat sem prebrala od ene zelo pametne zenske stavek: ```Edina stvar, ki pomaga, da odzalujemo, je zalovanje.",1
"Svet ni vedno lep, dogajajo se nam tudi zalostne stvari in ce ti umre mama, je to gotovo ena od njih.",1
"stni, sitni, jezni, zoprni...",1
"Otroci vejo, da je mama zalostna, pa tudi ce se se tako trudis ne jokat pred njimi. Edino, kar jih s tem naucimo, je, da se zalosti ne sme kazat in da mora vsak bit zalosten sam.",1
"Meni se zdi to narobe.",1
"Mislim, da je boljse, ce jim pokazemu, tudi solze, jih objamemo in jim povemo, da smo res zalostni, ampak da so oni pa nas soncek v tej zalosti. Da je vcasih zivljenje tezko, ampak da se splaca borit, ze samo zato, ker so oni tako fajn.",1
"ravno umrla mama.",1
"Ni vse ok.",1
"Sploh ni ok.",1
"Grozno je.",1
"Ni pa konec sveta, ta se vrti naprej, ne glede na vse nase stiske.",1
"Zmotno je misljenje, da je v par mesecih vse ok.",1
"Gre pa pocaaaasi na boljse.",1
"Najprej so valovi zelo intenzivni in blizu skupaj, kasneje so redkejsi in manj intenzivni, se vedno pa so in se vedno pride kak ruker.",1
"Pomaga, ce si das cas, da cutis vso to bolecino.",1
"Res boli, ampak pomaga.",1
"Od tiste iste avtorice je nasvet, da si vzames sliko ali kaj, kar te spominja na to osebo in potem samo cutis vso bolecino in jezo in karkoli ze cutis...",1
"in samo pustis in si v tem obcutku, kolikor dolgo pac zdrzis.",1
"Zalovanje in depresija nista isto: ce si po nekaj mesecih se vedno grozno zalostna, ampak funkcioniras boljse, potem je to zalovanje.",1
"Vidim zalost in jezo v njegovih oceh in nimam niti pribliznega pojma, kako bi mu lahko pomagala.",1
"V spremni besedi knjige Aljaska, kdo si, je neka psihologinja (ne spomnim se imena) napisala, da je smisel smrti in zalovanja to, da zalovanje poveze prezivele, da so si potem blizje.",1
"Zalujte skupaj, tudi ce ne zivite skupaj, je to mogoce.",1
"Poklici ga, napisi mu pismo.",1
"Izlijta si srce, ne samo tistih enkrat na grobu, ampak veckrat.",1
"Tako se megla zacne pocaaasi dvigovat.",1
"In ce si boste zato vi trije: oce in vidve s sestro zato blizje, se bi tvoji mami mami zdela njena smrt smiselna.",1
"Normalno je, da si jezna nanjo, ker je sla, ceprav ni hotela. To je normalna reakcija zalujocih.",1
"In normalno je, da se potem ustavis in ves, da tega ni hotela. In da noces, da bi trpela, vseeno pa bi jo rada imela tu.",1
"Vse to je normalno.",1
"orit o tem.",1
"Ne sekiraj se za rojstni dan.",1
"Naj imajo kakorkoli, samo da tebi ni treba bit zraven.",1
"i nazaj v zivljenje.",1
"Ob slabih pa ti brise solze.",1
"Dovoli mu to, ceprav ne cuti enako kot ti in ne more razumet te bolecine, ce ni se izgubil nikogar...",1
"To, da cutim da me ne razume je cisto res in zato se tudi ne morem normlno zjokati pred njih.",1
"Ze tri tedne sem nervozna in dejansko se, odkar je mama umrla s fantom kregam vsaj 2-3x tedensko.",0
"In ko gledam v kaksne kompromise se spuscam za njega in to zdaj, ki bi rabila njegovo podporo nevem kje je.",1
"Res da so otroci skrb st.",1
"1, ampak ce me pa ne vprasa cisto nic in se za stvari, ki se tudi mene tice dogovarja z njegovimi starsi (z izgovorom, da je to naredil zato, ker jaz nisem v tem trenutku sposobna funkcionirat) nevem zakaj bi ga se za drugo potrbovala.",1
"Tako kot tudi sinov RD - niti jezna nisem vec, ampak preprosto razocarana nad tem, da njegova druzina ne premore niti pike empatije, da bi me poskusili razumet kako se pocutim.",0
"Najbolj zalostno pa je, da so oni to zaceli ze napol planirat se preden je mama umrla.",1
"Pa da se razumemo, ko se je zadeva zacela dogajat sem se celo strinjala z RDjem - ampak na moj nacin - pri meni oce in sestra z druzino, pri njem njegovi starsi in brat.",1
"Povabilo na torto in kavo.",1
"In to bi bilo to.",1
"Da o tem, da partner nujno potrebuje dopust in it za par dni nekam, ko meni ne pase it in to se na dan, ko ima sin RD sploh ne bom govorila.",1
"Ker smo se dva tedna kregali okoli tega, da sem na koncu rekla, da mi je vseeno in gremo kamor hoce it.",1
"Mulci pa bojo v varstvu pri njegovih.",1
"Jaz in on pa bomo na sinov RD se setala po Rimu - zato ker rojstni dan (po njegovo) se praznuje, ko se naredi zurka in ne takrat (kot mislim jaz) ko je otrok dejansko rojen.",1
"To je to.",1
"Najprej iskreno sozalje ob tvoji izgubi. Ronja ti je zelo lepo napisala.",1
"Jaz bom rekla samo to, da kar se tvojega moza tice vzemi v obzir to, da si sedaj bolj custvena in se te bolj dotaknejo stvari, ki se te sicer nebi tako zelo.",1
"Za zalujoce je normalno, da se ne obnasajo normalno, ker niso v normalni situaciji. To lahko poves fantu.",1
"Za partnerje zalujocih je normalno, da jih ne razumejo.",1
"Vseeno pa ti lahko pomaga.",1
"POvej mu cim bolj KONKRETNO, kaj si zelis od njega.",1
"Z odrivanjem se bos pocutila vedno bolj sama in on vedno bolj odrinjen in s tem jezen nate in na cel svet...",0
"Povej mu, da si zelis objem, da si zelis, da te potolazi, da ti 100x pove, da bo nekoc boljse in da ne pricakuje,d a bo to ze takoj zdaj.",1
"POvej mu, kaj ti pomaga, kaj rabis: da te poslusa, da lahok govoris o mami, da se lahko zjokas in te objema in tolazi. Ce bo vedel, kaj lahko naredi, se ne bo pocutil tako grozno brez moci in vpliva, kar moske grozno bolj boli kot nas - ker oni so pac indoktrinirani, da morajo met stvari ```pod kontrolo``` in ko jih ne morejo imet, se zrusijo, so agresivni, karkoli pac, vsak po svoje reagira, vecina pa ne ravno lepo;).",1
"Tvoja zalost je zdaj popolnoma izven njegove kontrole.",1
"in on ne more naredit nic glede tega. To ga grozno frustrira, zato se odmika.",1
"Vidi, da se umikas in je zato jezen nate in hkrati se zato pocuti se bolj nesposoben in...",1
"Spusti ga blizu - ce bo videl, da lahko pomaga, se bo lazje vedel bolj socutno.",1
"Tako pa se od vsega distancira: pomagat itak ne morem, najboljse, da se umaknem.",1
"To bi bil cisto v redu kompromis, se strinjam.",1
"Nila, ne delaj takih kompromisov, oz.",1
"ne popuscaj tako, da se ti trga srce.",1
"Povej mu, da si zelis bit na sinov rd z njim in pika.",1
"TO ni nobena taka rec.",1
"Ok, njemu je vazno, da je zurka in naj jo imajo.",1
"Tebi je vazno, da sta na sinov rd skupaj s sinom in pac bosta.",1
"Ni treba vsega pogoltnit, ker mu bos na dolgi rok samo zamerila.",0
"Upam, da se pogovorita in da najdes v njem oporo.",1
"IZVIRNO SPOROCILO: *miska.",1
"ko sem sama gnezdila, sem se komaj obracala.",1
"tak trebuh sem imela.",1
"Hvala miska.",1
"Kar pa se energije tice, pa mislim, da nismo ravno na dosti boljsem.",1
"Cakat dan za dnem na dete, ki te caka vec kot 1000 km dalec ni neka energetska bomba.",1
"Ko bi najraje prespal, do ponovnega srecanja.",1
"(odgovor clanu *miska.",1
"IZVIRNO SPOROCILO: bela.",1
"Glede sten.",1
"Tukaj pa se pokaze posvajanje v Makedoniji strasno casu naklonjena situacija.",1
"Cakas namrec tako dolgoooo, da se ti za Sikstinsko kapelo zdi, da je bila hitro koncana.",1
"Mlincic v petek mama dejt.",1
"Soba je pa slovenska, po neslovenskem imenu Carmen.",1
"Saj ni cela, samo postelja pa omara.",1
"Matejcika hvala.",1
"Mi je vsec tvoj podpis.",1
"Sploh kar se rosno mladega moza tice. Cifre so od drzave do drzave razlicne, ponekod so kar visoke.",1
"Ruski odvetnik kosta 15.000 EUR, pol mors pa se ostalo dodat, pa kar nanase.",1
"Ma se pomatras, pa gre.",1
"Trenutno so moje misli pogosto pri regresu, katerega poraba je ze dolocena oz.",1
"Miska gnezdimo pa res ko ene kure.",1
"Ali hvala.",1
"Nas me je ze kregu, da se moram zdaj pa res malo zrihtat, jaz pa cisto nesrecna.",1
"No ja, saj mam ene crne kavbojke, zgoraj zraven nekaj nakombiniram, pa menda bo.",1
"Bo pa dec boljse zgledal.",1
"(odgovor clanu bela.",1
"Ja, to se pa jaz tud priporocam.",1
"V nasi blizini je sedela oseba, midva sva po njenih oblacilih sodila, da je vratarica, za katero sva kasneje ugotovila, da je tozilka.",1
"Verjetno je gnezdenje in vse ostalo kar spada k oz.",1
"po porodu v glavi. Sama vam lahko to potrdim z lastnimi izkusnjami, krvavitrev dva dni po prihodu domov ( pri obeh) , dojke napete in pripravljene na dojenje, bradavice pa kot velike cesnje.",1
"Sem sla takoj precekirat...",1
"Ja saj, vsi pravite, da se s cunjami ne ukvarjate, ampak ne vem, ce veste, da sem jaz res ekstremni primer.",1
"Casual style je tak trikrat pretirano predober izraz za moj stil oblacenja.",1
"Meni je vseeno, kako sem oblecena in res nimam filinga.",1
"Sodisce je pa le sodisce.",1
"Na koncu bom pa edina v kavbojkah tam.",1
"In najhujs je, da mi navadno sploh ne potegne, da je kaj narobe.",1
"Se je cas.",1
"Jaz mam na steni eno piko, ki se je ni dalo z barvo prekrit, pa sem razmisljala, da bi enga soncka gor narisala...",1
"Ce nabacis une crne kavbojke pa kako cedno majcko al pa pulovercek gor, nimas kaj falit.",1
"Punce vejo, kaj govorijo in jaz bi jim zaupala.",1
"Neverjetno.",1
"Tale nasa bejlukufe se zna kar malo v nic dajat.",1
"Pesmice, poslikave,...",1
"Ja mlinckova, ti pa res ves.",1
"Tako to je, ce imas drugje (npr tu), bolj lustne stvari za pocet.",1
"Here wo go now ...",1
"Se enkrat, svaka cast.",1
"Babe, bilo mi je v uzitek preziveti vecer z vami, se priporocam.",1
"Na sreco sem s pomocjo medicine lahko gnezdila dvakrat.",1
"Da pa to se zdalec ni povezano z nosecniskimi hormoni,drzi kot pribito.",1
"Drage posvojene mame.",1
"Same veste,da ste posebne,s posebnimi otrocki,ki cakajo na vas.",1
"Daj se tisti moj najljubsi del gor no...",1
"Dragi forumovci,  o tem, kako otroku razloziti bolezen in smrt bliznjega, svetuje mag.",1
"Kornelija Fercak.",1
"Tukaj si lahko preberete njen prispevek: http://www.",1
"ringaraja.",1
"net/RR-strokovnjaki-Details.",1
"Na UZ v LJ so ugotovili, da imam monoamniata.",1
"Enojajcna dvojcka brez pregrade.",1
"Sugerirali so, sicer med vrsticami, da naj prekinem nosecnost, ker je zelo, zelo, zelo rizicna nosecnost.",1
"Sem 11 t, prva nosecnost, stara 30 let, zanosila sem hitro, naravno.",1
"Najprej ogromen sok, saj na splav tudi pomislila nisem.",1
"Zaenkrat je z obema plodoma vse OK.",1
"Rada bi stopila v stik s katero, ki je imela isto nosecnost-monoamniata in monohoriata.",1
"Predvsem me zanima reakcija od ginekologa.",1
"Meni pravijo, da je odlocitev sicer moja, ampak da je ful rizicno in da imam manj kot 50% da donosim normalno.",1
"Res sem zmedena.",1
"Tezko ti povem, ker sta moja dvojajcna dvojcka s pregrado.",1
"Obrni se na bianko, ona pricakuje enojajcne dvojcke ali pa probaj vprasati na med.",1
"over.",1
"net-u, forum dvojckov http://med.",1
"net/phorum/list.",1
"Tudi jaz pricakujem enojajcna dvojcka,res da sta moja diamniota,vendar sem tudi jaz neprestano v skrbeh.",1
